iter	Passed	Remaining
0	204	204773
1	207	103620
2	210	69870
3	212	52930
4	215	42789
5	217	36038
6	220	31225
7	222	27596
8	224	24729
9	226	22420
10	228	20512
11	229	18914
12	231	17561
13	232	16394
14	234	15400
15	235	14512
16	237	13729
17	238	13033
18	240	12411
19	241	11847
20	243	11342
21	244	10879
22	246	10462
23	248	10088
24	249	9739
25	251	9408
26	252	9103
27	254	8820
28	255	8556
29	256	8308
30	258	8077
31	260	7865
32	261	7662
33	262	7470
34	264	7288
35	265	7118
36	267	6957
37	268	6804
38	270	6658
39	271	6521
40	273	6390
41	274	6265
42	276	6146
43	277	6032
44	279	5922
45	280	5817
46	281	5717
47	283	5621
48	284	5530
49	286	5441
50	287	5358
51	289	5277
52	290	5198
53	292	5121
54	293	5049
55	295	4979
56	296	4913
57	298	4848
58	299	4784
59	301	4722
60	302	4662
61	304	4604
62	305	4550
63	307	4497
64	308	4444
65	310	4394
66	311	4344
67	313	4297
68	315	4251
69	316	4206
70	318	4161
71	319	4118
72	321	4077
73	322	4039
74	324	4000
75	325	3961
76	327	3924
77	328	3886
78	330	3850
79	331	3815
80	333	3781
81	334	3747
82	335	3708
83	337	3677
84	338	3645
85	340	3614
86	341	3583
87	343	3554
88	344	3527
89	346	3498
90	347	3470
91	349	3445
92	350	3419
93	352	3393
94	353	3367
95	354	3342
96	356	3317
97	357	3293
98	359	3270
99	360	3247
100	362	3230
101	365	3214
102	366	3192
103	368	3170
104	369	3149
105	370	3128
106	372	3107
107	373	3088
108	375	3069
109	377	3050
110	378	3031
111	379	3012
112	381	2993
113	382	2976
114	384	2958
115	385	2941
116	387	2921
117	388	2906
118	390	2889
119	391	2873
120	393	2856
121	394	2839
122	395	2823
123	397	2808
124	398	2792
125	400	2777
126	401	2761
127	403	2746
128	404	2732
129	406	2718
130	407	2704
131	409	2690
132	410	2676
133	412	2663
134	413	2650
135	415	2637
136	416	2623
137	418	2611
138	419	2598
139	420	2585
140	422	2573
141	423	2558
142	424	2546
143	426	2534
144	427	2522
145	429	2510
146	430	2499
147	432	2487
148	433	2476
149	435	2465
150	436	2454
151	438	2444
152	439	2433
153	441	2422
154	442	2412
155	443	2401
156	445	2391
157	446	2381
158	448	2371
159	449	2361
160	450	2349
161	452	2339
162	453	2329
163	455	2319
164	456	2310
165	458	2301
166	459	2291
167	460	2282
168	462	2273
169	463	2264
170	465	2255
171	467	2249
172	468	2240
173	470	2232
174	471	2224
175	473	2216
176	474	2207
177	476	2199
178	477	2191
179	479	2183
180	480	2175
181	482	2168
182	484	2162
183	485	2155
184	487	2147
185	488	2139
186	490	2132
187	492	2125
188	493	2118
189	495	2110
190	496	2103
191	498	2096
192	499	2088
193	501	2082
194	502	2075
195	504	2068
196	505	2061
197	507	2054
198	508	2047
199	510	2040
200	511	2033
201	513	2027
202	514	2020
203	516	2013
204	517	2007
205	518	2000
206	520	1993
207	521	1986
208	523	1980
209	524	1973
210	526	1967
211	527	1960
212	529	1954
213	530	1948
214	531	1942
215	533	1936
216	534	1929
217	536	1923
218	537	1917
219	539	1911
220	540	1905
221	542	1899
222	543	1893
223	544	1887
224	546	1881
225	547	1876
226	549	1870
227	550	1864
228	552	1858
229	553	1853
230	555	1847
231	556	1842
232	557	1836
233	559	1831
234	560	1826
235	562	1820
236	563	1815
237	565	1809
238	566	1804
239	568	1800
240	570	1795
241	571	1790
242	572	1785
243	574	1779
244	575	1774
245	577	1769
246	578	1764
247	580	1759
248	581	1755
249	583	1750
250	584	1745
251	586	1739
252	587	1734
253	589	1730
254	590	1725
255	592	1720
256	593	1715
257	595	1712
258	597	1709
259	598	1704
260	600	1699
261	601	1695
262	603	1690
263	604	1686
264	606	1681
265	607	1677
266	609	1672
267	610	1668
268	612	1663
269	613	1658
270	615	1654
271	616	1650
272	618	1645
273	619	1641
274	621	1637
275	622	1633
276	624	1628
277	625	1624
278	626	1620
279	628	1616
280	629	1611
281	631	1607
282	632	1603
283	634	1599
284	635	1595
285	637	1591
286	638	1587
287	640	1583
288	641	1579
289	643	1575
290	644	1571
291	646	1567
292	647	1563
293	649	1559
294	650	1555
295	652	1551
296	653	1547
297	655	1543
298	656	1539
299	658	1535
300	659	1532
301	661	1528
302	662	1524
303	664	1520
304	665	1516
305	667	1513
306	668	1509
307	670	1505
308	671	1501
309	673	1498
310	674	1494
311	675	1490
312	677	1486
313	678	1483
314	680	1479
315	681	1475
316	683	1472
317	684	1468
318	686	1464
319	687	1461
320	689	1457
321	690	1454
322	692	1450
323	693	1447
324	695	1443
325	696	1439
326	697	1436
327	699	1433
328	701	1429
329	702	1426
330	703	1422
331	705	1419
332	706	1415
333	708	1412
334	709	1409
335	711	1405
336	713	1402
337	714	1399
338	716	1396
339	717	1393
340	719	1389
341	720	1386
342	722	1382
343	723	1379
344	725	1376
345	726	1373
346	728	1370
347	729	1366
348	730	1363
349	732	1359
350	733	1356
351	735	1353
352	736	1349
353	737	1346
354	739	1343
355	740	1340
356	742	1336
357	743	1333
358	745	1330
359	746	1327
360	748	1324
361	749	1321
362	751	1318
363	752	1315
364	754	1312
365	755	1308
366	757	1305
367	758	1302
368	760	1299
369	761	1296
370	763	1293
371	764	1290
372	766	1288
373	767	1285
374	769	1282
375	770	1279
376	772	1275
377	773	1273
378	775	1270
379	776	1267
380	779	1266
381	780	1263
382	782	1260
383	784	1257
384	785	1254
385	787	1251
386	788	1248
387	789	1246
388	791	1243
389	792	1240
390	794	1237
391	795	1234
392	797	1231
393	798	1228
394	800	1225
395	801	1222
396	803	1220
397	804	1217
398	806	1214
399	807	1211
400	809	1208
401	810	1205
402	812	1203
403	813	1200
404	815	1197
405	816	1194
406	817	1191
407	819	1188
408	820	1185
409	821	1182
410	823	1180
411	824	1177
412	826	1174
413	827	1171
414	829	1168
415	830	1166
416	832	1164
417	834	1161
418	835	1158
419	837	1156
420	838	1153
421	840	1150
422	841	1147
423	842	1145
424	844	1142
425	845	1139
426	847	1136
427	848	1134
428	850	1131
429	851	1128
430	853	1126
431	854	1123
432	855	1120
433	857	1118
434	858	1115
435	860	1112
436	861	1110
437	863	1107
438	864	1105
439	866	1102
440	867	1100
441	869	1097
442	870	1095
443	872	1092
444	873	1089
445	875	1087
446	876	1084
447	878	1081
448	879	1079
449	881	1076
450	882	1074
451	883	1071
452	885	1069
453	886	1066
454	888	1064
455	889	1061
456	891	1058
457	892	1056
458	894	1053
459	895	1051
460	897	1049
461	898	1046
462	900	1044
463	901	1041
464	903	1039
465	904	1036
466	905	1033
467	907	1031
468	909	1029
469	910	1027
470	912	1024
471	913	1022
472	915	1019
473	916	1017
474	918	1014
475	919	1012
476	921	1009
477	922	1007
478	924	1005
479	925	1002
480	927	1000
481	928	998
482	930	995
483	931	993
484	933	990
485	934	988
486	936	986
487	937	983
488	938	981
489	940	978
490	941	976
491	943	973
492	944	971
493	946	969
494	948	967
495	949	964
496	951	962
497	952	960
498	953	957
499	955	955
500	956	952
501	958	950
502	959	948
503	961	945
504	962	943
505	963	941
506	965	938
507	966	936
508	968	934
509	969	931
510	971	929
511	972	927
512	974	924
513	975	922
514	977	920
515	978	917
516	979	915
517	981	913
518	982	910
519	984	908
520	986	906
521	987	904
522	988	901
523	990	899
524	991	897
525	993	894
526	994	892
527	996	890
528	997	888
529	999	886
530	1000	883
531	1002	881
532	1003	879
533	1004	877
534	1006	874
535	1007	872
536	1009	870
537	1010	867
538	1012	865
539	1014	863
540	1015	861
541	1017	859
542	1018	857
543	1020	855
544	1021	852
545	1022	850
546	1024	848
547	1026	846
548	1027	844
549	1029	841
550	1030	839
551	1032	837
552	1033	835
553	1035	833
554	1036	831
555	1038	829
556	1040	827
557	1041	825
558	1043	822
559	1044	820
560	1045	818
561	1047	816
562	1048	814
563	1050	812
564	1052	809
565	1053	807
566	1054	805
567	1056	803
568	1057	801
569	1059	799
570	1060	797
571	1062	794
572	1063	792
573	1065	790
574	1066	788
575	1069	787
576	1070	784
577	1072	782
578	1073	780
579	1074	778
580	1076	776
581	1077	774
582	1079	772
583	1080	769
584	1082	767
585	1083	765
586	1085	763
587	1086	761
588	1088	759
589	1089	757
590	1091	755
591	1092	752
592	1094	750
593	1095	748
594	1096	746
595	1098	744
596	1099	742
597	1101	740
598	1102	738
599	1104	736
600	1105	733
601	1107	731
602	1108	729
603	1109	727
604	1111	725
605	1112	723
606	1114	721
607	1115	719
608	1117	717
609	1118	715
610	1120	713
611	1121	711
612	1123	709
613	1124	707
614	1126	705
615	1127	702
616	1129	700
617	1130	698
618	1132	696
619	1133	694
620	1135	692
621	1136	690
622	1137	688
623	1139	686
624	1140	684
625	1142	682
626	1143	680
627	1145	678
628	1146	676
629	1148	674
630	1149	672
631	1151	670
632	1152	668
633	1154	666
634	1155	664
635	1157	662
636	1158	660
637	1159	658
638	1161	656
639	1162	654
640	1164	652
641	1165	650
642	1167	647
643	1168	646
644	1170	644
645	1171	642
646	1172	639
647	1174	637
648	1175	635
649	1177	633
650	1178	631
651	1180	629
652	1181	627
653	1183	625
654	1186	624
655	1188	623
656	1189	621
657	1190	619
658	1192	617
659	1193	615
660	1195	613
661	1196	611
662	1198	609
663	1199	607
664	1201	605
665	1202	603
666	1204	601
667	1205	599
668	1206	597
669	1208	595
670	1209	593
671	1211	591
672	1212	589
673	1214	587
674	1215	585
675	1217	583
676	1218	581
677	1220	579
678	1221	577
679	1223	575
680	1224	573
681	1226	571
682	1227	569
683	1228	567
684	1230	565
685	1232	564
686	1233	562
687	1235	560
688	1236	558
689	1238	556
690	1239	554
691	1241	552
692	1242	550
693	1244	548
694	1245	546
695	1247	544
696	1248	542
697	1250	540
698	1251	538
699	1253	537
700	1254	535
701	1255	533
702	1257	531
703	1258	529
704	1260	527
705	1261	525
706	1263	523
707	1265	521
708	1266	519
709	1267	517
710	1269	516
711	1270	514
712	1272	512
713	1273	510
714	1275	508
715	1276	506
716	1278	504
717	1279	502
718	1281	500
719	1282	498
720	1284	496
721	1285	495
722	1287	493
723	1288	491
724	1289	489
725	1291	487
726	1292	485
727	1294	483
728	1296	481
729	1297	480
730	1299	478
731	1300	476
732	1302	474
733	1303	472
734	1305	470
735	1306	468
736	1308	466
737	1309	464
738	1311	463
739	1312	461
740	1313	459
741	1315	457
742	1316	455
743	1318	453
744	1319	451
745	1321	449
746	1322	448
747	1324	446
748	1325	444
749	1327	442
750	1328	440
751	1330	438
752	1331	436
753	1333	434
754	1334	433
755	1336	431
756	1337	429
757	1339	427
758	1340	425
759	1342	423
760	1343	421
761	1345	420
762	1346	418
763	1348	416
764	1349	414
765	1351	412
766	1352	410
767	1354	409
768	1355	407
769	1356	405
770	1358	403
771	1359	401
772	1361	399
773	1362	397
774	1364	396
775	1365	394
776	1367	392
777	1368	390
778	1370	388
779	1371	386
780	1372	384
781	1374	383
782	1375	381
783	1377	379
784	1378	377
785	1380	375
786	1381	373
787	1383	372
788	1384	370
789	1386	368
790	1387	366
791	1389	364
792	1390	362
793	1391	361
794	1393	359
795	1394	357
796	1396	355
797	1397	353
798	1399	352
799	1400	350
800	1402	348
801	1403	346
802	1405	344
803	1406	342
804	1407	341
805	1409	339
806	1411	337
807	1413	335
808	1414	333
809	1416	332
810	1417	330
811	1419	328
812	1420	326
813	1422	324
814	1423	323
815	1424	321
816	1426	319
817	1427	317
818	1429	315
819	1430	314
820	1432	312
821	1433	310
822	1435	308
823	1436	306
824	1438	305
825	1439	303
826	1441	301
827	1442	299
828	1444	297
829	1445	296
830	1446	294
831	1448	292
832	1449	290
833	1451	288
834	1452	287
835	1454	285
836	1455	283
837	1457	281
838	1458	279
839	1460	278
840	1461	276
841	1462	274
842	1464	272
843	1466	270
844	1467	269
845	1468	267
846	1470	265
847	1471	263
848	1473	262
849	1474	260
850	1476	258
851	1477	256
852	1479	254
853	1480	253
854	1482	251
855	1483	249
856	1485	247
857	1486	246
858	1488	244
859	1489	242
860	1490	240
861	1492	238
862	1493	237
863	1495	235
864	1496	233
865	1498	231
866	1499	230
867	1501	228
868	1502	226
869	1504	224
870	1505	223
871	1507	221
872	1508	219
873	1510	217
874	1511	215
875	1513	214
876	1514	212
877	1515	210
878	1517	208
879	1518	207
880	1520	205
881	1521	203
882	1523	201
883	1524	200
884	1526	198
885	1527	196
886	1529	194
887	1530	193
888	1532	191
889	1534	189
890	1535	187
891	1537	186
892	1538	184
893	1540	182
894	1541	180
895	1543	179
896	1544	177
897	1545	175
898	1547	173
899	1548	172
900	1550	170
901	1551	168
902	1553	166
903	1554	165
904	1556	163
905	1557	161
906	1559	159
907	1560	158
908	1561	156
909	1563	154
910	1564	152
911	1566	151
912	1567	149
913	1569	147
914	1570	145
915	1572	144
916	1573	142
917	1575	140
918	1576	138
919	1578	137
920	1579	135
921	1581	133
922	1582	132
923	1584	130
924	1585	128
925	1586	126
926	1588	125
927	1589	123
928	1591	121
929	1592	119
930	1594	118
931	1595	116
932	1597	114
933	1598	112
934	1600	111
935	1601	109
936	1603	107
937	1604	106
938	1606	104
939	1607	102
940	1609	100
941	1610	99
942	1612	97
943	1613	95
944	1614	93
945	1616	92
946	1617	90
947	1619	88
948	1620	87
949	1622	85
950	1623	83
951	1625	81
952	1626	80
953	1628	78
954	1629	76
955	1630	75
956	1632	73
957	1633	71
958	1635	69
959	1636	68
960	1638	66
961	1639	64
962	1641	63
963	1642	61
964	1644	59
965	1645	57
966	1647	56
967	1649	54
968	1650	52
969	1652	51
970	1653	49
971	1655	47
972	1656	45
973	1658	44
974	1659	42
975	1661	40
976	1662	39
977	1664	37
978	1665	35
979	1667	34
980	1668	32
981	1670	30
982	1671	28
983	1673	27
984	1674	25
985	1676	23
986	1677	22
987	1678	20
988	1680	18
989	1682	16
990	1683	15
991	1685	13
992	1686	11
993	1688	10
994	1689	8
995	1691	6
996	1692	5
997	1694	3
998	1695	1
999	1697	0
