iter	Passed	Remaining
0	299	299623
1	306	152969
2	308	102470
3	311	77664
4	314	62662
5	316	52440
6	318	45131
7	334	41444
8	357	39348
9	360	35664
10	375	33737
11	378	31157
12	380	28860
13	382	26921
14	385	25317
15	400	24624
16	404	23387
17	407	22238
18	412	21283
19	414	20331
20	425	19835
21	432	19205
22	434	18455
23	442	17983
24	444	17340
25	525	19704
26	528	19037
27	530	18418
28	536	17947
29	538	17412
30	540	16900
31	545	16489
32	548	16082
33	552	15696
34	556	15356
35	598	16014
36	600	15616
37	607	15387
38	610	15035
39	613	14729
40	616	14412
41	620	14145
42	622	13853
43	624	13570
44	627	13323
45	671	13923
46	673	13653
47	677	13438
48	679	13188
49	681	12950
50	683	12717
51	685	12494
52	688	12308
53	690	12105
54	692	11906
55	695	11726
56	697	11539
57	711	11562
58	713	11382
59	715	11208
60	720	11088
61	722	10932
62	724	10775
63	726	10620
64	728	10472
65	729	10329
66	734	10230
67	736	10096
68	760	10267
69	768	10212
70	770	10086
71	774	9985
72	776	9863
73	778	9745
74	780	9624
75	782	9511
76	783	9394
77	785	9279
78	786	9168
79	787	9059
80	790	8967
81	791	8865
82	792	8758
83	794	8659
84	795	8564
85	796	8469
86	798	8378
87	800	8292
88	803	8224
89	805	8139
90	807	8067
91	809	7991
92	814	7945
93	818	7892
94	823	7840
95	825	7772
96	827	7705
97	832	7657
98	833	7589
99	836	7524
100	839	7475
101	845	7446
102	849	7398
103	863	7441
104	878	7486
105	881	7431
106	894	7462
107	896	7402
108	902	7379
109	912	7382
110	919	7368
111	921	7307
112	923	7247
113	936	7278
114	938	7221
115	941	7171
116	942	7114
117	948	7086
118	951	7046
119	953	6993
120	955	6942
121	967	6965
122	970	6919
123	972	6869
124	983	6886
125	985	6834
126	987	6786
127	998	6798
128	999	6750
129	1006	6736
130	1009	6696
131	1037	6819
132	1041	6789
133	1043	6744
134	1045	6699
135	1049	6668
136	1051	6624
137	1053	6581
138	1055	6539
139	1057	6497
140	1059	6456
141	1075	6496
142	1079	6468
143	1084	6444
144	1086	6408
145	1089	6372
146	1094	6351
147	1096	6314
148	1099	6277
149	1131	6410
150	1133	6375
151	1136	6340
152	1142	6323
153	1144	6287
154	1146	6249
155	1148	6211
156	1149	6173
157	1151	6136
158	1157	6119
159	1159	6087
160	1160	6048
161	1162	6015
162	1165	5983
163	1170	5968
164	1173	5939
165	1175	5905
166	1177	5872
167	1178	5837
168	1180	5805
169	1182	5774
170	1184	5741
171	1186	5713
172	1189	5684
173	1190	5652
174	1192	5620
175	1195	5595
176	1197	5567
177	1198	5536
178	1200	5504
179	1201	5474
180	1202	5443
181	1204	5413
182	1205	5383
183	1210	5366
184	1211	5337
185	1214	5314
186	1215	5285
187	1217	5257
188	1218	5228
189	1219	5200
190	1222	5178
191	1224	5151
192	1226	5128
193	1228	5103
194	1229	5077
195	1231	5051
196	1233	5026
197	1235	5002
198	1236	4977
199	1238	4953
200	1240	4930
201	1242	4907
202	1243	4882
203	1245	4861
204	1248	4839
205	1250	4818
206	1252	4796
207	1254	4776
208	1256	4754
209	1260	4742
210	1266	4736
211	1272	4730
212	1274	4709
213	1278	4694
214	1280	4675
215	1289	4679
216	1293	4666
217	1303	4674
218	1307	4663
219	1311	4648
220	1323	4665
221	1325	4645
222	1334	4650
223	1358	4707
224	1367	4709
225	1369	4691
226	1372	4672
227	1373	4651
228	1381	4650
229	1383	4630
230	1385	4611
231	1386	4590
232	1388	4569
233	1393	4561
234	1397	4549
235	1401	4535
236	1402	4516
237	1406	4504
238	1409	4488
239	1412	4472
240	1413	4452
241	1415	4433
242	1416	4413
243	1419	4397
244	1421	4380
245	1423	4361
246	1424	4343
247	1426	4324
248	1427	4305
249	1428	4286
250	1433	4279
251	1435	4261
252	1437	4245
253	1439	4227
254	1441	4211
255	1444	4197
256	1452	4200
257	1454	4182
258	1455	4164
259	1457	4147
260	1460	4136
261	1464	4124
262	1465	4107
263	1467	4091
264	1469	4075
265	1471	4059
266	1477	4056
267	1479	4041
268	1481	4024
269	1482	4008
270	1484	3993
271	1486	3979
272	1489	3965
273	1491	3950
274	1492	3935
275	1494	3920
276	1495	3904
277	1497	3888
278	1501	3879
279	1503	3865
280	1504	3850
281	1506	3835
282	1508	3820
283	1509	3805
284	1511	3790
285	1514	3780
286	1516	3767
287	1518	3753
288	1519	3739
289	1521	3724
290	1522	3710
291	1524	3695
292	1526	3682
293	1529	3671
294	1530	3658
